"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"135","ILMN_1771238",0.0698210714849914,8.18741213199298,4.10185188763406,4.90059874270707e-05,0.0219348678176286,0.864175909748159,"CHM","CHM Rab escort protein"
"181","ILMN_1808395",-0.138184190565141,9.18247714244067,-4.10162546407493,4.90521642961207e-05,0.0219348678176286,0.863283562932603,"ACAP1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
"13","ILMN_1661342",-0.100590547057754,8.49145144042883,-4.09942336961482,4.95034238921905e-05,0.0219354171577559,0.85460737169725,"SEPTIN6","septin 6"
"61","ILMN_1710434",-0.146547779856949,10.6103552368707,-4.09238924613981,5.09714779675795e-05,0.0223824484603222,0.826921984633328,"TBC1D10C","TBC1 domain family member 10C"
"6","ILMN_1655572",-0.023422024265777,7.82049216357482,-4.07503890384829,5.47716389453473e-05,0.0226244002158824,0.758821376681203,"AGPAT4-IT1","AGPAT4 intronic transcript 1"
"64","ILMN_1712312",0.174874435540328,9.65152950973612,4.07514938412287,5.47466103072912e-05,0.0226244002158824,0.759254168005471,"RAB11A","RAB11A, member RAS oncogene family"
"71","ILMN_1716862",0.143419634386902,9.19668247740922,4.08607447168354,5.23245885319203e-05,0.0226244002158824,0.802105323239429,"PPM1B","protein phosphatase, Mg2+/Mn2+ dependent 1B"
"89","ILMN_1731224",0.241237004856391,9.49131332291569,4.08512235860347,5.25315442026326e-05,0.0226244002158824,0.798366655189172,"PARP9","poly(ADP-ribose) polymerase family member 9"
"111","ILMN_1753190",0.0275803641382302,7.85840655843587,4.07762512885548,5.4188588923689e-05,0.0226244002158824,0.768955406681791,NA,NA
"145","ILMN_1779034",-0.0780098422644961,8.48803170500148,-4.07803892713932,5.40958497708199e-05,0.0226244002158824,0.770577412618547,"NADSYN1","NAD synthetase 1"
"155","ILMN_1784737",-0.172771055028665,10.2098600544341,-4.07643637306722,5.44558506762699e-05,0.0226244002158824,0.764296570763848,"S1PR4","sphingosine-1-phosphate receptor 4"
"7","ILMN_1657361",-0.0934253351837953,8.75793528583529,-4.0569282713685,5.90248602568409e-05,0.0235437492268754,0.688022308840042,"CBX7","chromobox 7"
"69","ILMN_1716678",0.186906254213229,13.1793155173683,4.05763957277668,5.88520511556388e-05,0.0235437492268754,0.690797457612161,"NPC2","NPC intracellular cholesterol transporter 2"
"133","ILMN_1769520",0.289461110876848,11.7864503244336,4.05992242088797,5.83006801405167e-05,0.0235437492268754,0.699707053407016,"UBE2L6","ubiquitin conjugating enzyme E2 L6"
"189","ILMN_1820759",-0.125577404067585,8.44654187120819,-4.05534011944749,5.94124400907981e-05,0.0235437492268754,0.681827746243746,NA,NA
"191","ILMN_1850677",-0.0754535130215377,8.17356353135306,-4.06316379564503,5.75262262637128e-05,0.0235437492268754,0.712365599687539,NA,NA
"18","ILMN_1664776",0.136720223802929,9.19745486127967,4.03735153225023,6.39746857655303e-05,0.0243551724227973,0.611820415417523,"EFR3A","EFR3 homolog A"
